80 80
0.0516065 0.0389399 0
0.064513 0.0391732 0
0.0774229 0.0394007 0
0.0903372 0.0396204 0
0.103256 0.0398317 0
0.11618 0.0400335 0
0.129109 0.040224 0
0.142045 0.0404005 0
0.154987 0.0405611 0
0.167936 0.0407053 0
0.180891 0.0408314 0
0.193853 0.0409332 0
0.20682 0.0410133 0
0.219792 0.04107 0
0.232769 0.0410967 0
0.245748 0.0410977 0
0.258728 0.0410708 0
0.271707 0.041013 0
0.284685 0.0409291 0
0.29766 0.0408171 0
0.31063 0.0406788 0
0.323594 0.0405176 0
0.336553 0.0403331 0
0.349505 0.040128 0
0.36245 0.0399052 0
0.375389 0.039667 0
0.388322 0.0394128 0
0.401248 0.0391466 0
0.41417 0.0388698 0
0.427086 0.0385839 0
0.439998 0.0382901 0
0.452906 0.0379896 0
0.465811 0.0376841 0
0.478714 0.0373749 0
0.491616 0.037063 0
0.504516 0.0367492 0
0.517415 0.036435 0
0.530316 0.0361213 0
0.543217 0.0358094 0
0.55612 0.0355001 0
0.569025 0.0351946 0
0.581933 0.0348941 0
0.594845 0.0346003 0
0.607762 0.0343145 0
0.620683 0.0340378 0
0.63361 0.0337715 0
0.646542 0.0335172 0
0.659481 0.0332789 0
0.672427 0.0330563 0
0.685378 0.032851 0
0.698337 0.0326667 0
0.711302 0.0325054 0
0.724272 0.0323669 0
0.737246 0.032255 0
0.750224 0.0321712 0
0.763204 0.0321135 0
0.776184 0.0320865 0
0.789163 0.0320873 0
0.802139 0.032114 0
0.815111 0.0321707 0
0.828079 0.0322507 0
0.841041 0.0323528 0
0.853996 0.0324788 0
0.866944 0.0326229 0
0.879887 0.0327836 0
0.892822 0.0329601 0
0.905752 0.0331506 0
0.918676 0.0333523 0
0.931594 0.0335637 0
0.944509 0.0337835 0
0.957419 0.034011 0
0.970325 0.0342441 0
0.983229 0.0344817 0
0.996131 0.0347224 0
1.00903 0.0349654 0
1.02193 0.0352095 0
0 0.0506329 0
0.0129788 0.0509594 0
0.0259583 0.0512845 0
0.0389399 0.0516065 0
0.0519241 0.0519241 0
0.0649116 0.0522363 0
0.0779037 0.0525406 0
0.0909016 0.0528347 0
0.103906 0.0531175 0
0.116916 0.0533876 0
0.129934 0.0536427 0
