80 80
0.0506609 0.0380023 0
0.0633265 0.0380089 0
0.0759923 0.0380152 0
0.0886583 0.0380213 0
0.101325 0.0380271 0
0.113991 0.0380326 0
0.126659 0.0380377 0
0.139326 0.0380424 0
0.151995 0.0380466 0
0.164663 0.0380505 0
0.177333 0.0380538 0
0.190003 0.0380566 0
0.202674 0.0380589 0
0.215346 0.0380607 0
0.228019 0.0380619 0
0.240693 0.0380626 0
0.253368 0.0380627 0
0.266045 0.0380622 0
0.278723 0.0380612 0
0.291402 0.0380596 0
0.304083 0.0380575 0
0.316766 0.0380548 0
0.329451 0.0380516 0
0.342138 0.0380479 0
0.354827 0.0380437 0
0.367519 0.0380391 0
0.380213 0.038034 0
0.392911 0.0380284 0
0.405611 0.0380225 0
0.418316 0.0380163 0
0.431023 0.0380097 0
0.443735 0.0380028 0
0.456452 0.0379957 0
0.469173 0.0379883 0
0.481899 0.0379807 0
0.494631 0.0379729 0
0.507369 0.037965 0
0.520113 0.0379569 0
0.532865 0.0379488 0
0.545624 0.0379405 0
0.558392 0.0379321 0
0.571169 0.0379236 0
0.583955 0.037915 0
0.596752 0.0379063 0
0.609561 0.0378974 0
0.622382 0.0378884 0
0.635216 0.037879 0
0.648065 0.0378693 0
0.660929 0.0378592 0
0.673811 0.0378485 0
0.68671 0.037837 0
0.69963 0.0378247 0
0.712571 0.0378111 0
0.725535 0.0377962 0
0.738525 0.0377795 0
0.751541 0.0377607 0
0.764587 0.0377393 0
0.777664 0.0377148 0
0.790775 0.0376866 0
0.803922 0.0376539 0
0.817109 0.0376159 0
0.830339 0.0375716 0
0.843613 0.0375199 0
0.856937 0.0374595 0
0.870313 0.0373887 0
0.883744 0.0373059 0
0.897235 0.0372091 0
0.91079 0.0370959 0
0.924411 0.0369637 0
0.938104 0.0368096 0
0.951871 0.0366301 0
0.965716 0.0364217 0
0.979643 0.03618 0
0.993653 0.0359007 0
1.00775 0.0355789 0
1.02193 0.0352095 0
0 0.0506329 0
0.0126674 0.0506423 0
0.0253348 0.0506517 0
0.0380023 0.0506609 0
0.05067 0.05067 0
0.0633379 0.0506788 0
0.0760061 0.0506873 0
0.0886747 0.0506955 0
0.101344 0.0507033 0
0.114013 0.0507107 0
0.126683 0.0507175 0
